No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
556 60120 423 25.9455 456  36.1887
557 60136 722 63.6671 680  65.9758
558 60264 600 42.8736 617  55.4478
559 60456 625 47.5144 606  52.9516
560 60712 398 24.1382 391  29.6540
561 61168  76  3.3439  66   3.8606
562 61328  42  1.5293  38   1.7690
563 61496 596 42.6152 557  47.3618
564 61536 113  5.2562  98   5.8742
565 61632 310 17.4923 275  19.7144
566 61648 657 51.2564 648  61.4257
567 61864 650 50.1231 628  57.4125
568 61936 379 22.1333 360  26.8512
569 62048 552 38.3433 491  39.6999
570 62088 565 39.2709 533  44.7668
571 62128 562 39.0286 511  41.9927
572 62136 479 30.9153 464  36.8663
573 62264 277 15.7810 248  18.1510
574 62280 602 43.3610 541  45.5750
575 62304 735 67.2909 786  93.5339
576 62320 188  8.9720 172  10.6324
577 62416 530 36.5397 565  47.9619
578 62712 355 20.2998 357  26.6758
579 62744 272 15.5163 311  22.4087
580 62752  19  0.4339  12   0.5191
581 62792  47  1.7614  81   4.8057
582 62920 591 42.2507 577  49.7097
583 63048 433 27.3068 579  49.9194
584 63064   8  0.1251   8   0.2481
585 63288 167  7.5092 144   8.3077
586 63408 573 40.2456 528  44.4547
587 63808 201 10.2372 228  16.2404
588 64200 702 57.8922 674  64.8489
589 64376 693 56.4365 665  63.6875
590 64432 318 18.1924 318  22.7573
591 64784 536 36.9033 520  43.5910
592 64832   4  0.0281   2   0.0351
593 64856 540 37.2194 660  63.2893
594 65000  22  0.4762  17   0.7290
595 65112 416 25.5467 476  38.2735
596 65256  70  3.1075  63   3.5278
597 65336 635 48.7968 588  50.7303
598 65392 362 20.8710 355  26.6180
599 65496 763 76.6708 790  95.7751
600 65736 666 52.7900 634  58.8272
601 65944 771 79.0504 755  82.7349
602 66016 769 78.5999 739  79.2315
603 66192 242 13.0346 224  15.6508
604 66232 408 24.7780 386  29.1365
605 66320 425 26.6456 375  28.3982
606 66440 415 25.4448 429  33.8488
607 66560 550 38.2541 600  52.4127
608 66576 328 18.6637 315  22.6677
609 66720 268 15.2622 247  18.1286
610 67120 660 51.7921 626  57.2614
611 67224 474 30.5726 407  31.2075
612 67304 286 16.2834 251  18.2305
613 67584 183  8.8517 185  11.4217
614 67616 446 28.1256 401  30.6196
615 67632 529 36.2914 485  39.0775
616 67648 570 39.9249 614  54.7779
617 67848 586 41.8869 593  51.6090
618 68072 443 27.9111 583  50.1680
619 68096 158  7.0917 338  24.8273
620 68104 235 12.5605 210  14.0183
621 68152 180  8.5024 335  24.4738
622 68312 607 44.4138 602  52.5469
623 68328 456 28.8937 515  42.6587
624 68432 501 33.6606 514  42.5340
625 69216 766 77.0721 767  86.9840
626 69248 366 21.2261 345  25.3283
627 69309   1  0.0109   3   0.0753
628 69360 561 38.9932 526  44.1799
629 69368 760 75.4369 793  86.5117
630 69376 363 20.9711 535  44.9360
631 69400  49  1.9517  43   2.1427
632 69416  37  1.2327  32   1.3240
633 69616 403 24.4428 483  38.9363
634 69680 668 53.1125 637  59.2255
635 69752 359 20.6968 322  22.9663
636 69776 726 65.1212 704  71.8557
637 69800 153  7.0014 143   8.2716
638 69936  73  3.2246  67   3.9640
639 70040 779 82.1980 782  91.8328
640 70056  58  2.4592 133   7.7355
641 70224 615 46.0166 586  50.5411
642 70248 112  5.2512 109   6.4028
643 70304 711 59.4688 699  70.7426
644 70352 261 14.7015 233  17.0284
645 70376 239 12.7814 280  20.4066
646 70408 803 86.5267 802  89.5900
647 70464 678 53.9649 682  66.5143
648 70744  27  0.6103  20   0.8523
649 70880 141  6.2947 129   7.4268
650 71144 459 29.0631 468  37.4506
651 71176 292 16.7787 253  18.3814
652 71184  11  0.1646  14   0.5485
653 71248 543 37.5289 525  44.1645
654 71256 777 80.5673 779  91.3893
655 71320  77  3.3516  93   5.3485
656 71424 762 76.4836 749  81.7397
657 71620  16  0.3290  13   0.5260
658 71688 426 26.8229 397  30.3732
659 71776 312 17.6987 277  20.0939
660 71976 778 80.7803 764  86.4097
661 72072 350 20.0343 314  22.4467
662 72080 263 14.7923 313  22.4206
663 72168 532 36.6569 530  44.6526
664 72192 243 13.4385 326  23.5303
665 72216 105  5.0680 238  17.2559
666 72344  21  0.4521  31   1.2038
667 72376  46  1.7603  37   1.7603
668 72448 733 66.8611 721  75.0759
669 72592  65  2.6680 225  16.0035
670 72648 690 55.6943 685  68.1190
671 72704 284 16.1130 285  20.7957
672 72736 392 23.5885 362  27.0576
673 72872 473 30.1712 427  33.7200
674 72920 492 31.7965 494  40.0476
675 72960 620 47.0983 609  53.5201
676 73192 400 24.2009 465  37.1324
677 73784 156  7.0752 130   7.4688
678 73808  69  2.9981  64   3.6431
679 73888 524 35.8862 595  52.0015
680 74184 515 35.0874 454  36.1276
681 74224 674 53.7238 618  55.6200
682 74232 521 35.7622 492  39.8014
683 74288 161  7.2926 166  10.0478
684 74888 773 79.3488 773  90.2965
685 75000 222 11.4555 208  13.8350
686 75024 608 44.5184 562  47.7563
687 75136 590 42.1287 550  46.4623
688 75168 776 80.3872 769  88.0464
689 75248  53  2.1011  50   2.5090
690 75568 280 16.0839 270  19.5705
691 75584 566 39.3515 598  52.3304
692 75648  99  4.6571  90   5.2646
693 75816 193  9.7854 169  10.3652
694 75832 614 45.1414 591  51.2304
695 75888 343 19.5303 309  22.2609
696 75944 225 11.5911 199  12.7399
697 76032 119  5.3804  97   5.7832
698 76104 506 34.1616 472  37.6920
699 76144 391 23.4755 369  27.7632
700 76184 281 16.0928 286  20.8531
701 76496 273 15.5449 231  16.4910
702 76536 579 40.7166 669  64.0985
703 76560 518 35.5085 466  37.3954
704 76632 197  9.9431 176  10.8376
705 76648 151  6.9056 139   8.1636
706 76696 464 29.4691 471  37.5866
707 76744 336 19.0703 282  20.5646
708 76808 806 99.2109 800  99.2776
709 76848 369 21.4264 363  27.0596
710 77168 341 19.3908 346  25.6468
711 77184 142  6.3164 151   9.2072
712 77232 192  9.7469 195  12.4279
713 77272 527 36.0058 501  40.8985
714 77288 149  6.7601 260  19.0695
715 77304  18  0.3601  35   1.5266
716 77392 419 25.8116 376  28.5200
717 77584 451 28.5204 410  31.6451
718 77784 758 75.3767 745  81.0463
719 77832 147  6.5707 194  12.3859
720 77912 502 33.6946 458  36.2355
721 78008 218 11.1316 189  11.9079
722 78168 695 57.0131 705  71.9332
723 78240  40  1.4965  36   1.6758
724 78448 402 24.3180 380  28.7681
725 78456 375 21.7944 331  23.9383
726 78616 691 56.0287 629  57.7353
727 78712 399 24.1930 377  28.5205
